AC,AL,AM,AP,BA,CE,DF,ES,EX,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
,,,,Érico Cardoso,,,,,,,Juruaia,,,,,,,,,,,,São Luiz Gonzaga,,,Pereiras,
,,,,,,,,,,,Juvenília,,,,,,,,,,,,São Marcos,,,Peruíbe,
,,,,,,,,,,,Ladainha,,,,,,,,,,,,São Martinho,,,Piacatu,
,,,,,,,,,,,Lagamar,,,,,,,,,,,,São Martinho da Serra,,,Piedade,
,,,,,,,,,,,Lagoa Dourada,,,,,,,,,,,,São Miguel das Missões,,,Pilar do Sul,
,,,,,,,,,,,Lagoa Formosa,,,,,,,,,,,,São Nicolau,,,Pindamonhangaba,
,,,,,,,,,,,Lagoa Grande,,,,,,,,,,,,São Paulo das Missões,,,Pindorama,
,,,,,,,,,,,Lagoa Santa,,,,,,,,,,,,São Pedro da Serra,,,Pinhalzinho,
,,,,,,,,,,,Lagoa da Prata,,,,,,,,,,,,São Pedro das Missões,,,Piquerobi,
,,,,,,,,,,,Lagoa dos Patos,,,,,,,,,,,,São Pedro do Butiá,,,Piquete,
,,,,,,,,,,,Lajinha,,,,,,,,,,,,São Pedro do Sul,,,Piracaia,
,,,,,,,,,,,Lambari,,,,,,,,,,,,São Sebastião do Caí,,,Piracicaba,
,,,,,,,,,,,Lamim,,,,,,,,,,,,São Sepé,,,Piraju,
,,,,,,,,,,,Laranjal,,,,,,,,,,,,São Valentim,,,Pirajuí,
,,,,,,,,,,,Lassance,,,,,,,,,,,,São Valentim do Sul,,,Pirangi,
,,,,,,,,,,,Lavras,,,,,,,,,,,,São Valério do Sul,,,Pirapora do Bom Jesus,
,,,,,,,,,,,Leandro Ferreira,,,,,,,,,,,,São Vendelino,,,Pirapozinho,
,,,,,,,,,,,Leme do Prado,,,,,,,,,,,,São Vicente do Sul,,,Pirassununga,
,,,,,,,,,,,Leopoldina,,,,,,,,,,,,Sério,,,Piratininga,
,,,,,,,,,,,Liberdade,,,,,,,,,,,,Tabaí,,,Pitangueiras,
,,,,,,,,,,,Lima Duarte,,,,,,,,,,,,Tapejara,,,Planalto,
,,,,,,,,,,,Limeira do Oeste,,,,,,,,,,,,Tapera,,,Platina,
,,,,,,,,,,,Lontra,,,,,,,,,,,,Tapes,,,Poloni,
,,,,,,,,,,,Luisburgo,,,,,,,,,,,,Taquara,,,Pompéia,
,,,,,,,,,,,Luislândia,,,,,,,,,,,,Taquari,,,Pongaí,
,,,,,,,,,,,Luminárias,,,,,,,,,,,,Taquaruçu do Sul,,,Pontal,
,,,,,,,,,,,Luz,,,,,,,,,,,,Tavares,,,Pontalinda,
,,,,,,,,,,,Machacalis,,,,,,,,,,,,Tenente Portela,,,Pontes Gestal,
,,,,,,,,,,,Machado,,,,,,,,,,,,Terra de Areia,,,Populina,
,,,,,,,,,,,Madre de Deus de Minas,,,,,,,,,,,,Teutônia,,,Porangaba,
,,,,,,,,,,,Malacacheta,,,,,,,,,,,,Tio Hugo,,,Porto Feliz,
,,,,,,,,,,,Mamonas,,,,,,,,,,,,Tiradentes do Sul,,,Porto Ferreira,
,,,,,,,,,,,Manga,,,,,,,,,,,,Toropi,,,Potim,
,,,,,,,,,,,Manhuaçu,,,,,,,,,,,,Torres,,,Potirendaba,
,,,,,,,,,,,Manhumirim,,,,,,,,,,,,Tramandaí,,,Poá,
,,,,,,,,,,,Mantena,,,,,,,,,,,,Travesseiro,,,Pracinha,
,,,,,,,,,,,Mar de Espanha,,,,,,,,,,,,Trindade do Sul,,,Pradópolis,
,,,,,,,,,,,Maravilhas,,,,,,,,,,,,Triunfo,,,Praia Grande,
,,,,,,,,,,,Maria da Fé,,,,,,,,,,,,Três Arroios,,,Pratânia,
,,,,,,,,,,,Mariana,,,,,,,,,,,,Três Cachoeiras,,,Presidente Alves,
,,,,,,,,,,,Marilac,,,,,,,,,,,,Três Coroas,,,Presidente Bernardes,
,,,,,,,,,,,Maripá de Minas,,,,,,,,,,,,Três Forquilhas,,,Presidente Epitácio,
,,,,,,,,,,,Marliéria,,,,,,,,,,,,Três Palmeiras,,,Presidente Prudente,
,,,,,,,,,,,Marmelópolis,,,,,,,,,,,,Três Passos,,,Presidente Venceslau,
,,,,,,,,,,,Martinho Campos,,,,,,,,,,,,Três de Maio,,,Promissão,
,,,,,,,,,,,Martins Soares,,,,,,,,,,,,Tucunduva,,,Quadra,
,,,,,,,,,,,Mata Verde,,,,,,,,,,,,Tunas,,,Quatá,
,,,,,,,,,,,Materlândia,,,,,,,,,,,,Tupanci do Sul,,,Queiroz,
,,,,,,,,,,,Mateus Leme,,,,,,,,,,,,Tupanciretã,,,Queluz,
,,,,,,,,,,,Mathias Lobato,,,,,,,,,,,,Tupandi,,,Quintana,
,,,,,,,,,,,Matias Barbosa,,,,,,,,,,,,Tuparendi,,,Rafard,
,,,,,,,,,,,Matias Cardoso,,,,,,,,,,,,Turuçu,,,Rancharia,
,,,,,,,,,,,Matipó,,,,,,,,,,,,Ubiretama,,,Redenção da Serra,
,,,,,,,,,,,Mato Verde,,,,,,,,,,,,Unistalda,,,Regente Feijó,
,,,,,,,,,,,Matozinhos,,,,,,,,,,,,União da Serra,,,Reginópolis,
,,,,,,,,,,,Matutina,,,,,,,,,,,,Uruguaiana,,,Registro,
,,,,,,,,,,,Medeiros,,,,,,,,,,,,Vacaria,,,Restinga,
,,,,,,,,,,,Medina,,,,,,,,,,,,Vale Real,,,Ribeira,
,,,,,,,,,,,Mendes Pimentel,,,,,,,,,,,,Vale Verde,,,Ribeirão Bonito,
,,,,,,,,,,,Mercês,,,,,,,,,,,,Vale do Sol,,,Ribeirão Branco,
,,,,,,,,,,,Mesquita,,,,,,,,,,,,Vanini,,,Ribeirão Corrente,
,,,,,,,,,,,Minas Novas,,,,,,,,,,,,Venâncio Aires,,,Ribeirão Grande,
,,,,,,,,,,,Minduri,,,,,,,,,,,,Vera Cruz,,,Ribeirão Pires,
,,,,,,,,,,,Mirabela,,,,,,,,,,,,Veranópolis,,,Ribeirão Preto,
,,,,,,,,,,,Miradouro,,,,,,,,,,,,Vespasiano Corrêa,,,Ribeirão do Sul,
,,,,,,,,,,,Miravânia,,,,,,,,,,,,Viadutos,,,Ribeirão dos Índios,
,,,,,,,,,,,Miraí,,,,,,,,,,,,Viamão,,,Rifaina,
,,,,,,,,,,,Moeda,,,,,,,,,,,,Vicente Dutra,,,Rincão,
,,,,,,,,,,,Moema,,,,,,,,,,,,Victor Graeff,,,Rinópolis,
,,,,,,,,,,,Monjolos,,,,,,,,,,,,Vila Flores,,,Rio Claro,
,,,,,,,,,,,Monsenhor Paulo,,,,,,,,,,,,Vila Lângaro,,,Rio Grande da Serra,
,,,,,,,,,,,Montalvânia,,,,,,,,,,,,Vila Maria,,,Rio das Pedras,
,,,,,,,,,,,Monte Alegre de Minas,,,,,,,,,,,,Vila Nova do Sul,,,Riolândia,
,,,,,,,,,,,Monte Azul,,,,,,,,,,,,Vista Alegre,,,Riversul,
,,,,,,,,,,,Monte Belo,,,,,,,,,,,,Vista Alegre do Prata,,,Rosana,
,,,,,,,,,,,Monte Carmelo,,,,,,,,,,,,Vista Gaúcha,,,Roseira,
,,,,,,,,,,,Monte Formoso,,,,,,,,,,,,Vitória das Missões,,,Rubinéia,
,,,,,,,,,,,Monte Santo de Minas,,,,,,,,,,,,Westfália,,,Rubiácea,
,,,,,,,,,,,Monte Sião,,,,,,,,,,,,Xangri-lá,,,Sabino,
,,,,,,,,,,,Montes Claros,,,,,,,,,,,,Água Santa,,,Sagres,
,,,,,,,,,,,Montezuma,,,,,,,,,,,,Áurea,,,Sales,
,,,,,,,,,,,Morada Nova de Minas,,,,,,,,,,,,,,,Sales Oliveira,
,,,,,,,,,,,Morro da Garça,,,,,,,,,,,,,,,Salesópolis,
,,,,,,,,,,,Morro do Pilar,,,,,,,,,,,,,,,Salmourão,
,,,,,,,,,,,Munhoz,,,,,,,,,,,,,,,Saltinho,
,,,,,,,,,,,Muriaé,,,,,,,,,,,,,,,Salto,
,,,,,,,,,,,Mutum,,,,,,,,,,,,,,,Salto Grande,
,,,,,,,,,,,Muzambinho,,,,,,,,,,,,,,,Salto de Pirapora,
,,,,,,,,,,,Mário Campos,,,,,,,,,,,,,,,Sandovalina,
,,,,,,,,,,,Nacip Raydan,,,,,,,,,,,,,,,Santa Adélia,
,,,,,,,,,,,Nanuque,,,,,,,,,,,,,,,Santa Albertina,
,,,,,,,,,,,Naque,,,,,,,,,,,,,,,Santa Branca,
,,,,,,,,,,,Natalândia,,,,,,,,,,,,,,,Santa Bárbara d'Oeste,
,,,,,,,,,,,Natércia,,,,,,,,,,,,,,,Santa Clara d'Oeste,
,,,,,,,,,,,Nazareno,,,,,,,,,,,,,,,Santa Cruz da Conceição,
,,,,,,,,,,,Nepomuceno,,,,,,,,,,,,,,,Santa Cruz da Esperança,
,,,,,,,,,,,Ninheira,,,,,,,,,,,,,,,Santa Cruz das Palmeiras,
,,,,,,,,,,,Nova Belém,,,,,,,,,,,,,,,Santa Cruz do Rio Pardo,
,,,,,,,,,,,Nova Era,,,,,,,,,,,,,,,Santa Ernestina,
,,,,,,,,,,,Nova Lima,,,,,,,,,,,,,,,Santa Fé do Sul,
,,,,,,,,,,,Nova Módica,,,,,,,,,,,,,,,Santa Gertrudes,
,,,,,,,,,,,Nova Ponte,,,,,,,,,,,,,,,Santa Isabel,
,,,,,,,,,,,Nova Porteirinha,,,,,,,,,,,,,,,Santa Lúcia,
,,,,,,,,,,,Nova Resende,,,,,,,,,,,,,,,Santa Maria da Serra,
,,,,,,,,,,,Nova Serrana,,,,,,,,,,,,,,,Santa Mercedes,
,,,,,,,,,,,Nova União,,,,,,,,,,,,,,,Santa Rita d'Oeste,
,,,,,,,,,,,Novo Cruzeiro,,,,,,,,,,,,,,,Santa Rita do Passa Quatro,
,,,,,,,,,,,Novo Oriente de Minas,,,,,,,,,,,,,,,Santa Rosa de Viterbo,
,,,,,,,,,,,Novorizonte,,,,,,,,,,,,,,,Santa Salete,
,,,,,,,,,,,Olaria,,,,,,,,,,,,,,,Santana da Ponte Pensa,
,,,,,,,,,,,Olhos-d'Água,,,,,,,,,,,,,,,Santana de Parnaíba,
,,,,,,,,,,,Oliveira,,,,,,,,,,,,,,,Santo Anastácio,
,,,,,,,,,,,Oliveira Fortes,,,,,,,,,,,,,,,Santo André,
,,,,,,,,,,,Olímpio Noronha,,,,,,,,,,,,,,,Santo Antônio da Alegria,
,,,,,,,,,,,Onça de Pitangui,,,,,,,,,,,,,,,Santo Antônio de Posse,
,,,,,,,,,,,Oratórios,,,,,,,,,,,,,,,Santo Antônio do Aracanguá,
,,,,,,,,,,,Orizânia,,,,,,,,,,,,,,,Santo Antônio do Jardim,
,,,,,,,,,,,Ouro Branco,,,,,,,,,,,,,,,Santo Antônio do Pinhal,
,,,,,,,,,,,Ouro Fino,,,,,,,,,,,,,,,Santo Expedito,
,,,,,,,,,,,Ouro Preto,,,,,,,,,,,,,,,Santos,
,,,,,,,,,,,Ouro Verde de Minas,,,,,,,,,,,,,,,Santópolis do Aguapeí,
,,,,,,,,,,,Padre Carvalho,,,,,,,,,,,,,,,Sarapuí,
,,,,,,,,,,,Padre Paraíso,,,,,,,,,,,,,,,Sarutaiá,
,,,,,,,,,,,Pai Pedro,,,,,,,,,,,,,,,Sebastianópolis do Sul,
,,,,,,,,,,,Paineiras,,,,,,,,,,,,,,,Serra Azul,
,,,,,,,,,,,Pains,,,,,,,,,,,,,,,Serra Negra,
,,,,,,,,,,,Paiva,,,,,,,,,,,,,,,Serrana,
,,,,,,,,,,,Palma,,,,,,,,,,,,,,,Sertãozinho,
,,,,,,,,,,,Palmópolis,,,,,,,,,,,,,,,Sete Barras,
,,,,,,,,,,,Papagaios,,,,,,,,,,,,,,,Severínia,
,,,,,,,,,,,Paracatu,,,,,,,,,,,,,,,Silveiras,
,,,,,,,,,,,Paraguaçu,,,,,,,,,,,,,,,Socorro,
,,,,,,,,,,,Paraisópolis,,,,,,,,,,,,,,,Sorocaba,
,,,,,,,,,,,Paraopeba,,,,,,,,,,,,,,,Sud Mennucci,
,,,,,,,,,,,Pará de Minas,,,,,,,,,,,,,,,Sumaré,
,,,,,,,,,,,Passa Quatro,,,,,,,,,,,,,,,Suzano,
,,,,,,,,,,,Passa Tempo,,,,,,,,,,,,,,,Suzanápolis,
,,,,,,,,,,,Passa Vinte,,,,,,,,,,,,,,,São Bento do Sapucaí,
,,,,,,,,,,,Passabém,,,,,,,,,,,,,,,São Bernardo do Campo,
,,,,,,,,,,,Passos,,,,,,,,,,,,,,,São Caetano do Sul,
,,,,,,,,,,,Patis,,,,,,,,,,,,,,,São Carlos,
,,,,,,,,,,,Patos de Minas,,,,,,,,,,,,,,,São Francisco,
,,,,,,,,,,,Patrocínio,,,,,,,,,,,,,,,São Joaquim da Barra,
,,,,,,,,,,,Patrocínio do Muriaé,,,,,,,,,,,,,,,São José da Bela Vista,
,,,,,,,,,,,Paula Cândido,,,,,,,,,,,,,,,São José do Barreiro,
,,,,,,,,,,,Paulistas,,,,,,,,,,,,,,,São José do Rio Pardo,
,,,,,,,,,,,Pavão,,,,,,,,,,,,,,,São José do Rio Preto,
,,,,,,,,,,,Pedra Azul,,,,,,,,,,,,,,,São José dos Campos,
,,,,,,,,,,,Pedra Bonita,,,,,,,,,,,,,,,São João da Boa Vista,
,,,,,,,,,,,Pedra Dourada,,,,,,,,,,,,,,,São João das Duas Pontes,
,,,,,,,,,,,Pedra do Anta,,,,,,,,,,,,,,,São João de Iracema,
,,,,,,,,,,,Pedra do Indaiá,,,,,,,,,,,,,,,São João do Pau d'Alho,
,,,,,,,,,,,Pedralva,,,,,,,,,,,,,,,São Lourenço da Serra,
,,,,,,,,,,,Pedras de Maria da Cruz,,,,,,,,,,,,,,,São Luiz do Paraitinga,
,,,,,,,,,,,Pedrinópolis,,,,,,,,,,,,,,,São Manuel,
,,,,,,,,,,,Pedro Leopoldo,,,,,,,,,,,,,,,São Miguel Arcanjo,
,,,,,,,,,,,Pedro Teixeira,,,,,,,,,,,,,,,São Paulo,
,,,,,,,,,,,Pequeri,,,,,,,,,,,,,,,São Pedro,
,,,,,,,,,,,Pequi,,,,,,,,,,,,,,,São Pedro do Turvo,
,,,,,,,,,,,Perdigão,,,,,,,,,,,,,,,São Roque,
,,,,,,,,,,,Perdizes,,,,,,,,,,,,,,,São Sebastião,
,,,,,,,,,,,Perdões,,,,,,,,,,,,,,,São Sebastião da Grama,
,,,,,,,,,,,Periquito,,,,,,,,,,,,,,,São Simão,
,,,,,,,,,,,Pescador,,,,,,,,,,,,,,,São Vicente,
,,,,,,,,,,,Peçanha,,,,,,,,,,,,,,,Tabapuã,
,,,,,,,,,,,Piau,,,,,,,,,,,,,,,Tabatinga,
,,,,,,,,,,,Piedade de Caratinga,,,,,,,,,,,,,,,Taboão da Serra,
,,,,,,,,,,,Piedade de Ponte Nova,,,,,,,,,,,,,,,Taciba,
,,,,,,,,,,,Piedade do Rio Grande,,,,,,,,,,,,,,,Taguaí,
,,,,,,,,,,,Piedade dos Gerais,,,,,,,,,,,,,,,Taiaçu,
,,,,,,,,,,,Pimenta,,,,,,,,,,,,,,,Taiúva,
,,,,,,,,,,,Pingo-d'Água,,,,,,,,,,,,,,,Tambaú,
,,,,,,,,,,,Pintópolis,,,,,,,,,,,,,,,Tanabi,
,,,,,,,,,,,Piracema,,,,,,,,,,,,,,,Tapiratiba,
,,,,,,,,,,,Pirajuba,,,,,,,,,,,,,,,Tapiraí,
,,,,,,,,,,,Piranga,,,,,,,,,,,,,,,Taquaral,
,,,,,,,,,,,Piranguinho,,,,,,,,,,,,,,,Taquaritinga,
,,,,,,,,,,,Piranguçu,,,,,,,,,,,,,,,Taquarituba,
,,,,,,,,,,,Pirapetinga,,,,,,,,,,,,,,,Taquarivaí,
,,,,,,,,,,,Pirapora,,,,,,,,,,,,,,,Tarabai,
,,,,,,,,,,,Piraúba,,,,,,,,,,,,,,,Tarumã,
,,,,,,,,,,,Pitangui,,,,,,,,,,,,,,,Tatuí,
,,,,,,,,,,,Piumhi,,,,,,,,,,,,,,,Taubaté,
,,,,,,,,,,,Planura,,,,,,,,,,,,,,,Tejupá,
,,,,,,,,,,,Pocrane,,,,,,,,,,,,,,,Teodoro Sampaio,
,,,,,,,,,,,Pompéu,,,,,,,,,,,,,,,Terra Roxa,
,,,,,,,,,,,Ponte Nova,,,,,,,,,,,,,,,Tietê,
,,,,,,,,,,,Ponto Chique,,,,,,,,,,,,,,,Timburi,
,,,,,,,,,,,Ponto dos Volantes,,,,,,,,,,,,,,,Torre de Pedra,
,,,,,,,,,,,Porteirinha,,,,,,,,,,,,,,,Torrinha,
,,,,,,,,,,,Porto Firme,,,,,,,,,,,,,,,Trabiju,
,,,,,,,,,,,Poté,,,,,,,,,,,,,,,Tremembé,
,,,,,,,,,,,Pouso Alegre,,,,,,,,,,,,,,,Três Fronteiras,
,,,,,,,,,,,Pouso Alto,,,,,,,,,,,,,,,Tuiuti,
,,,,,,,,,,,Poço Fundo,,,,,,,,,,,,,,,Tupi Paulista,
,,,,,,,,,,,Poços de Caldas,,,,,,,,,,,,,,,Tupã,
,,,,,,,,,,,Prados,,,,,,,,,,,,,,,Turiúba,
,,,,,,,,,,,Prata,,,,,,,,,,,,,,,Turmalina,
,,,,,,,,,,,Pratinha,,,,,,,,,,,,,,,Ubarana,
,,,,,,,,,,,Pratápolis,,,,,,,,,,,,,,,Ubatuba,
,,,,,,,,,,,Presidente Bernardes,,,,,,,,,,,,,,,Ubirajara,
,,,,,,,,,,,Presidente Juscelino,,,,,,,,,,,,,,,Uchoa,
,,,,,,,,,,,Presidente Kubitschek,,,,,,,,,,,,,,,União Paulista,
,,,,,,,,,,,Presidente Olegário,,,,,,,,,,,,,,,Uru,
,,,,,,,,,,,Prudente de Morais,,,,,,,,,,,,,,,Urupês,
,,,,,,,,,,,Quartel Geral,,,,,,,,,,,,,,,Urânia,
,,,,,,,,,,,Queluzito,,,,,,,,,,,,,,,Valentim Gentil,
,,,,,,,,,,,Raposos,,,,,,,,,,,,,,,Valinhos,
,,,,,,,,,,,Raul Soares,,,,,,,,,,,,,,,Valparaíso,
,,,,,,,,,,,Recreio,,,,,,,,,,,,,,,Vargem,
,,,,,,,,,,,Reduto,,,,,,,,,,,,,,,Vargem Grande Paulista,
,,,,,,,,,,,Resende Costa,,,,,,,,,,,,,,,Vargem Grande do Sul,
,,,,,,,,,,,Resplendor,,,,,,,,,,,,,,,Vera Cruz,
,,,,,,,,,,,Ressaquinha,,,,,,,,,,,,,,,Vinhedo,
,,,,,,,,,,,Riachinho,,,,,,,,,,,,,,,Viradouro,
,,,,,,,,,,,Riacho dos Machados,,,,,,,,,,,,,,,Vista Alegre do Alto,
,,,,,,,,,,,Ribeirão Vermelho,,,,,,,,,,,,,,,Vitória Brasil,
,,,,,,,,,,,Ribeirão das Neves,,,,,,,,,,,,,,,Votorantim,
,,,,,,,,,,,Rio Acima,,,,,,,,,,,,,,,Votuporanga,
,,,,,,,,,,,Rio Casca,,,,,,,,,,,,,,,Várzea Paulista,
,,,,,,,,,,,Rio Doce,,,,,,,,,,,,,,,Zacarias,
,,,,,,,,,,,Rio Espera,,,,,,,,,,,,,,,Águas da Prata,
,,,,,,,,,,,Rio Manso,,,,,,,,,,,,,,,Águas de Lindóia,
,,,,,,,,,,,Rio Novo,,,,,,,,,,,,,,,Águas de Santa Bárbara,
,,,,,,,,,,,Rio Paranaíba,,,,,,,,,,,,,,,Águas de São Pedro,
,,,,,,,,,,,Rio Pardo de Minas,,,,,,,,,,,,,,,Álvares Florence,
,,,,,,,,,,,Rio Piracicaba,,,,,,,,,,,,,,,Álvares Machado,
,,,,,,,,,,,Rio Pomba,,,,,,,,,,,,,,,Álvaro de Carvalho,
,,,,,,,,,,,Rio Preto,,,,,,,,,,,,,,,Óleo,
,,,,,,,,,,,Rio Vermelho,,,,,,,,,,,,,,,,
,,,,,,,,,,,Rio do Prado,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ritápolis,,,,,,,,,,,,,,,,
,,,,,,,,,,,Rochedo de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Rodeiro,,,,,,,,,,,,,,,,
,,,,,,,,,,,Romaria,,,,,,,,,,,,,,,,
,,,,,,,,,,,Rosário da Limeira,,,,,,,,,,,,,,,,
,,,,,,,,,,,Rubelita,,,,,,,,,,,,,,,,
,,,,,,,,,,,Rubim,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sabará,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sabinópolis,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sacramento,,,,,,,,,,,,,,,,
,,,,,,,,,,,Salinas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Salto da Divisa,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Bárbara,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Bárbara do Leste,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Bárbara do Monte Verde,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Bárbara do Tugúrio,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Cruz de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Cruz de Salinas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Cruz do Escalvado,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Efigênia de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Fé de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Helena de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Juliana,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Luzia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Margarida,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Maria de Itabira,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Maria do Salto,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Maria do Suaçuí,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Rita de Caldas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Rita de Ibitipoca,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Rita de Jacutinga,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Rita de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Rita do Itueto,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Rita do Sapucaí,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Rosa da Serra,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santa Vitória,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana da Vargem,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana de Cataguases,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana de Pirapama,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana do Deserto,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana do Garambéu,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana do Jacaré,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana do Manhuaçu,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana do Paraíso,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana do Riacho,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santana dos Montes,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Amparo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Aventureiro,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Grama,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Itambé,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Jacinto,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Monte,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Retiro,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Antônio do Rio Abaixo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santo Hipólito,,,,,,,,,,,,,,,,
,,,,,,,,,,,Santos Dumont,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sapucaí-Mirim,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sardoá,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sarzedo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sem-Peixe,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senador Amaral,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senador Cortes,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senador Firmino,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senador José Bento,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senador Modestino Gonçalves,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senhora de Oliveira,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senhora do Porto,,,,,,,,,,,,,,,,
,,,,,,,,,,,Senhora dos Remédios,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sericita,,,,,,,,,,,,,,,,
,,,,,,,,,,,Seritinga,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serra Azul de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serra da Saudade,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serra do Salitre,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serra dos Aimorés,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serrania,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serranos,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serranópolis de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Serro,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sete Lagoas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Setubinha,,,,,,,,,,,,,,,,
,,,,,,,,,,,Silveirânia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Silvianópolis,,,,,,,,,,,,,,,,
,,,,,,,,,,,Simonésia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Simão Pereira,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sobrália,,,,,,,,,,,,,,,,
,,,,,,,,,,,Soledade de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Bento Abade,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Brás do Suaçuí,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Domingos das Dores,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Domingos do Prata,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Francisco,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Francisco de Paula,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Francisco de Sales,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Francisco do Glória,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Félix de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Geraldo,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Geraldo da Piedade,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Geraldo do Baixio,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Gonçalo do Abaeté,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Gonçalo do Pará,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Gonçalo do Rio Abaixo,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Gonçalo do Rio Preto,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Gonçalo do Sapucaí,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Gotardo,,,,,,,,,,,,,,,,
